CourseCode,CourseName,Origin,Question,OptionA,OptionB,OptionC,OptionD,Answer,RelatedTextbook,RelatedChapter
PSYC9110,Intro to Psychology,P,Psychology is best defined as:,The study of the soul,The scientific study of mind and behaviour,The study of mental illness,The practice of counseling,B,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,P,"A nurse teaches a patient relaxation strategies for stress management, focusing on self-growth and potential. This is consistent with which perspective?",Humanistic,Behaviorist,Evolutionary,Structuralist,A,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,P,The hindsight bias refers to the tendency to,believe we could have predicted an outcome after knowing it,forget events once they are no longer relevant,only remember things that confirm our beliefs,judge past events more harshly than they deserve,A,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,P,"Which level of explanation considers how genes, neurons, and physiology contribute to behaviour?",social level,psychological level,biological level,cultural level,C,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,P,The nature vs. nurture debate centers on whether behaviour is influenced more by,biology or environment,past or present,reward or punishment,conscious or unconscious,A,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,P,A patient believes their anxiety is caused by unresolved unconscious conflicts. Which psychological perspective best matches this explanation?,Biological,Psychodynamic,Behaviorist,Cognitive,B,Introduction to Psychology,1 - Introducing Psychology
PSYC9110,Intro to Psychology,P,Behaviorist psychology emphasizes,inner thoughts and feelings,observable behavior and environmental influences,the role of the unconscious,genetic predispositions,B,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,P,Humanistic psychology emphasizes,unconscious motives,organismic growth and self-actualization,classical conditioning,genetic determinism,B,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,P,Evolutionary psychology attempts to explain mental traits by,referring to social learning,appealing to unconscious conflict,how traits improved survival or reproduction,environmental conditioning,C,Introduction to Psychology,2 - Introduction to Major Perspectives
PSYC9110,Intro to Psychology,P,Which perspective would most focus on how cultural expectations influence behavior?,biological,psychodynamic,sociocultural,behaviorist,C,Introduction to Psychology,2 - Introduction to Major Perspectives
